Year,Month,Provinces,Region,Occupancy rate,Number of guests (people),Total number of visitors (people),Number of Thai visitors (people),Number of foreign visitors (people),Income from visitors (million baht),Income from Thai visitors (million baht),Income from foreign visitors (million baht)
2019,6,Pattani,Southern,81.32,21660,22668,22552,116,81.8,81.32,0.48
2019,6,Phangnga,Southern,55.67,67162,358485,81748,276737,3423.43,357.79,3065.64
2019,6,Phatthalung,Southern,63.89,64655,105663,102934,2729,254.41,248.3,6.11
2019,6,Phuket,Southern,74.97,1061379,1181192,296803,884389,31831.3,3367.54,28463.76
2019,6,Ranong,Southern,54.92,52726,64003,59443,4560,402.25,367,35.25
2019,6,Satun,Southern,59.27,60615,97514,82088,15426,420.27,354.84,65.43
2019,6,Songkhla,Southern,64.88,368099,467937,234785,233152,4567.22,1760.72,2806.5
2019,6,Surat Thani,Southern,58.71,347860,383680,164863,218817,5993.67,1325.91,4667.76
2019,6,Trang,Southern,44.17,61901,94752,86071,8681,530.74,460.13,70.61
2019,6,Yala,Southern,51.8,50676,54492,4224,50268,289.92,13.46,276.46
2019,7,Chumphon,Southern,62.76,124181,174302,161480,12822,859.75,750.34,109.41
2019,7,Krabi,Southern,52.5,277123,355556,155302,200254,5659.62,2387.26,3272.36
2019,7,Nakhon Si Thammarat,Southern,53.58,168746,253286,246443,6843,988.16,959.03,29.13
2019,7,Narathiwat,Southern,52.23,50799,54136,17932,36204,291.14,80.5,210.64
2019,7,Pattani,Southern,53.5,22673,24237,24018,219,107.62,106.71,0.91
2019,7,Phangnga,Southern,46.61,72531,243919,51858,192061,2761.83,186.57,2575.26
2019,7,Phatthalung,Southern,64.53,70790,106525,105390,1135,326.65,322.91,3.74
2019,7,Phuket,Southern,66.17,748133,811130,225708,585422,20503.17,2974.04,17529.13
2019,7,Ranong,Southern,50.18,57228,70961,67454,3507,359.49,333.49,26
2019,7,Satun,Southern,51.34,58483,97396,87896,9500,330.49,293.94,36.55
2019,7,Songkhla,Southern,69.65,413807,644488,391253,253235,5492.2,2866.65,2625.55
2019,7,Surat Thani,Southern,73.71,464073,530400,200672,329728,7403.09,1426.94,5976.15
2019,7,Trang,Southern,39.11,55758,64939,53230,11709,409.61,322.66,86.95
2019,7,Yala,Southern,52.91,57024,58323,14380,43943,289.46,56.94,232.52
2019,8,Chumphon,Southern,52.28,105030,147042,131714,15328,742.83,612.03,130.8
2019,8,Krabi,Southern,51.06,251172,324731,123865,200866,5186.38,1904.02,3282.36
2019,8,Nakhon Si Thammarat,Southern,53.03,205132,306587,300855,5732,1195.17,1170.77,24.4
2019,8,Narathiwat,Southern,78.55,47814,50966,17497,33469,273.28,78.55,194.73
2019,8,Pattani,Southern,86.01,18317,19587,19359,228,86.96,86.01,0.95
2019,8,Phangnga,Southern,39.06,65484,219355,58695,160660,2365.38,211.17,2154.21
2019,8,Phatthalung,Southern,62.31,64799,97428,96133,1295,298.82,294.55,4.27
2019,8,Phuket,Southern,62.11,720398,794213,297163,497050,18798.6,3915.57,14883.03
2019,8,Ranong,Southern,44.6,55280,68441,63856,4585,349.69,315.7,33.99
2019,8,Satun,Southern,40.36,43634,72437,62891,9546,247.04,210.32,36.72
2019,8,Songkhla,Southern,66.49,418228,624598,338345,286253,5446.88,2479,2967.88
2019,8,Surat Thani,Southern,69.35,491537,569418,258032,311386,7478.52,1834.81,5643.71
2019,8,Trang,Southern,39.15,54258,63067,55525,7542,392.58,336.57,56.01
2019,8,Yala,Southern,56.19,62974,64467,21153,43314,312.95,83.76,229.19
2019,9,Chumphon,Southern,54.08,92956,130274,118316,11958,651.82,549.77,102.05
2019,9,Krabi,Southern,57.16,267973,348461,118428,230033,5579.43,1820.43,3759
2019,9,Nakhon Si Thammarat,Southern,57.23,200381,299485,293890,5595,1167.5,1143.67,23.83
2019,9,Narathiwat,Southern,85.82,51463,54861,19116,35745,293.78,85.82,207.96
2019,9,Pattani,Southern,92.86,19752,21119,20903,216,93.74,92.86,0.88
2019,9,Phangnga,Southern,44.41,75322,250752,88895,161857,2490.1,319.84,2170.26
2019,9,Phatthalung,Southern,61.45,62581,94188,93236,952,288.82,285.67,3.15
2019,9,Phuket,Southern,61.45,765910,834314,254797,579517,20709.63,3357.33,17352.3
2019,9,Ranong,Southern,50.63,62471,77355,72288,5067,394.95,357.38,37.57
2019,9,Satun,Southern,39.26,47319,78963,72975,5988,267.08,244.04,23.04
2019,9,Songkhla,Southern,72.91,455115,659685,325538,334147,5849.64,2385.19,3464.45
2019,9,Surat Thani,Southern,68.95,474198,541506,202264,339242,7586.83,1438.29,6148.54
2019,9,Trang,Southern,47.12,64134,74575,64787,9788,465.4,392.7,72.7
2019,9,Yala,Southern,53.28,55453,56726,14724,42002,280.55,58.3,222.25
2019,10,Chumphon,Southern,46.07,82520,102466,96846,5620,554.51,510.38,44.13
2019,10,Krabi,Southern,64.09,348201,550474,195162,355312,10158.9,3354.65,6804.25
2019,10,Nakhon Si Thammarat,Southern,51.98,185615,269000,263721,5279,1164.29,1134.99,29.3
2019,10,Narathiwat,Southern,49.41,45482,49253,20038,29215,191.79,69.73,122.06
2019,10,Pattani,Southern,45.2,18073,22540,22358,182,75.03,74.17,0.86
2019,10,Phangnga,Southern,64.57,119352,506469,209537,296932,5004.57,760.96,4243.61
2019,10,Phatthalung,Southern,61.02,72785,225473,224536,937,410.43,407.93,2.5
2019,10,Phuket,Southern,67.09,1007467,1156536,316689,839847,41618.55,3737.34,37881.21
2019,10,Ranong,Southern,56.07,63762,74448,70661,3787,286.73,267,19.73
2019,10,Satun,Southern,49.81,70618,116331,100431,15900,585.49,483.92,101.57
2019,10,Songkhla,Southern,69.52,446192,576867,350855,226012,4948.43,2470.04,2478.39
2019,10,Surat Thani,Southern,56.38,380032,446040,188851,257189,7257.01,1400.09,5856.92
2019,10,Trang,Southern,64.86,95129,146167,126799,19368,751.75,572.29,179.46
2019,10,Yala,Southern,48.55,57186,65023,18730,46293,302.99,61.23,241.76
2019,11,Chumphon,Southern,52.72,81839,101638,94766,6872,553.37,499.41,53.96
2019,11,Krabi,Southern,68.09,334303,535086,162062,373024,9929.13,2785.7,7143.43
2019,11,Nakhon Si Thammarat,Southern,47.47,171935,249861,241949,7912,1085.19,1041.29,43.9
2019,11,Narathiwat,Southern,46.4,45243,49006,20745,28261,190.27,72.19,118.08
2019,11,Pattani,Southern,45.52,18901,23566,23318,248,78.52,77.35,1.17
