Year,Month,Country,Region,Sub_Region,Number of Tourists
2020,Jun,U.A.E.,Middle East,NULL,0
2020,Jun,Saudi Arabia,Middle East,NULL,0
2020,Jun,Qatar,Middle East,NULL,0
2020,Jun,Oman,Middle East,NULL,0
2020,Jun,Lebanon,Middle East,NULL,0
2020,Jun,Kuwait,Middle East,NULL,0
2020,Jun,Jordan,Middle East,NULL,0
2020,Jun,Iraq,Middle East,NULL,0
2020,Jun,Egypt,Middle East,NULL,0
2020,Jun,Bahrain,Middle East,NULL,0
2020,Jun,Uruguay,America,NULL,0
2020,Jun,Colombia,America,NULL,0
2020,Jun,Peru,America,NULL,0
2020,Jun,Other in America,America,NULL,0
2020,Jun,South  Africa,Africa,NULL,0
2020,Jun,Morocco,Africa,NULL,0
2020,Jun,Other in Asia,Asia and the Pacific,NULL,0
2020,Jun,Other in Europe,Europe,NULL,0
2020,Jun,Hong Kong (China),Asia and the Pacific,North-East Asia,0
2020,Jun,China,Asia and the Pacific,North-East Asia,0
2020,Jun,Other in Africa,Africa,NULL,0
2020,Jun,Mauritius,Africa,NULL,0
2020,Jun,Kenya,Africa,NULL,0
2020,Jun,Ethiopia,Africa,NULL,0
2020,Jun,Japan,Asia and the Pacific,North-East Asia,0
2020,Jun,North Korea,Asia and the Pacific,North-East Asia,0
2020,Jun,Lithuania,Europe,Central/Eastern Europe,0
2020,Jun,Poland,Europe,Central/Eastern Europe,0
2020,Jun,Latvia,Europe,Central/Eastern Europe,0
2020,Jun,Kyrgyzstan,Europe,Central/Eastern Europe,0
2020,Jun,Kazakhstan,Europe,Central/Eastern Europe,0
2020,Jun,Hungary,Europe,Central/Eastern Europe,0
2020,Jun,Estonia,Europe,Central/Eastern Europe,0
2020,Jun,Czech Republic,Europe,Central/Eastern Europe,0
2020,Jun,Bulgaria,Europe,Central/Eastern Europe,0
2020,Jun,Belarus,Europe,Central/Eastern Europe,0
2020,Jun,Turkey,Europe,Southern/Medit. Europe,0
2020,Jun,Slovenia,Europe,Southern/Medit. Europe,0
2020,Jun,Spain,Europe,Southern/Medit. Europe,0
2020,Jun,Serbia,Europe,Southern/Medit. Europe,0
2020,Jun,Portugal,Europe,Southern/Medit. Europe,0
2020,Jun,Italy,Europe,Southern/Medit. Europe,0
2020,Jun,Greece,Europe,Southern/Medit. Europe,0
2020,Jun,Israel,Europe,Southern/Medit. Europe,0
2020,Jun,Uzbekistan,Europe,Central/Eastern Europe,0
2020,Jun,Slovakia,Europe,Central/Eastern Europe,0
